id,lat,lon,score
20:00:21,59.8058084,30.376141,6050000
12:04:54,55.683807,37.297405,8650000
15:44:00,56.29525,44.061637,4000000
11:24:52,44.996132,39.074783,1850000
17:42:43,55.918767,37.984642,5450000
21:18:42,55.908253,37.726448,3300000
12:35:25,55.6210965,37.4310016,4704280
20:52:38,59.8755262,30.3954571,3600000
07:07:05,53.1950306,50.1069518,3390000
09:57:10,55.7369718,38.8464565,2800000
18:34:48,55.9139498,37.7077118,6909880
18:37:27,55.9139498,37.7077118,4291950
18:37:28,55.9139498,37.7077118,6675840
18:37:35,55.9139498,37.7077118,6522650
18:37:40,55.9139498,37.7077118,6522650
18:40:08,55.7817155,37.8566559,4279770
12:37:08,55.738846,49.225437,4550000
14:38:45,55.7349712,52.3663848,2880000
14:51:58,45.069785,41.935019,1450000
16:21:54,44.9943012,41.1228103,1650000
06:46:32,55.738876,37.82537,8000000
09:05:06,54.8155661,56.12556,2250000
14:44:11,56.3460273,43.8716477,3843000
14:44:11,56.3460273,43.8716477,2697200
14:44:11,56.3460273,43.8716477,4214700
14:44:11,56.3460273,43.8716477,3773700
14:55:54,58.6930479,59.485351,950000
12:08:09,54.88528,38.080196,5300000
15:09:38,55.7078344,37.9596388,4600000
17:40:53,55.7989215,37.7380901,11500000
13:38:26,47.2250854,39.6235866,3500000
15:45:29,56.3112475,44.0271172,9000000
19:37:22,43.634694,39.727167,2500000
20:25:27,55.9428756,37.9764623,2800000
15:23:20,55.655307,37.6146053,10200000
15:55:58,61.657787,50.831367,2370000
16:10:12,59.827465,30.201827,3200000
15:58:47,55.172116,61.279772,3160000
15:29:34,54.8937452,38.0750844,2750000
15:29:34,54.8827186,38.0619832,3350000
15:29:34,54.886223,38.08271,2500000
15:29:36,54.876962,38.155205,2200000
15:29:37,54.8868571,38.0583764,4400000
21:46:21,55.577999,39.517491,4250000
21:52:41,55.70133,37.507412,11500000
08:36:31,52.550984,103.882608,2350000
09:53:29,45.003174,39.079931,2600000
11:47:58,59.9883341,29.7869278,6500000
12:59:41,56.245607,43.8239587,3750000
00:02:27,59.90024,30.520711,3380000
09:22:20,45.002575,39.083183,2220000
17:01:13,55.4329286,42.5127293,1200000
10:19:50,47.2322363,39.7273503,3250000
12:55:44,55.8760589,37.3882166,6500000
17:47:24,59.9116217,30.2845562,6300000
19:14:08,57.9897,56.193996,2500000
13:33:09,55.730785,37.631424,20900000
05:38:11,53.2419091,83.7046163,1450000
10:24:21,56.3861027,61.9263927,3650000
21:08:19,55.627136,37.591736,12000000
